SNP	chr_name	category	gene	Description
rs1726866	7	NUTRITIONAL	TAS2R38	Woman tendency to overeat
rs671	12	NUTRITIONAL	ALDH2	Alcohol Flush Reaction
rs4778138	15	PHYSICAL	1) BNC2, 2) OCA2, 3) MC1R	1) Freckles 2) Freckles and moles 3) Freckling and scin sensitivity to sun
rs1805007	16	PHYSICAL	1) BNC2, 2) OCA2, 3) MC1R	1) Freckles 2) Freckles and moles 3) Freckling and scin sensitivity to sun
rs2153271	9	PHYSICAL	1) BNC2, 2) OCA2, 3) MC1R	1) Freckles 2) Freckles and moles 3) Freckling and scin sensitivity to sun
rs4988235	2	NUTRITIONAL	MCM6	Lactose intolerent
rs17819126	15	BEHAVIORAL	DYX1C1	Reading Ability - NonWord Reading
rs11857829	15	BEHAVIORAL	DYX1C1	Reading Ability - NonWord Reading
rs1801282	3	NUTRITIONAL	PPARG	Effect of monounsaturated fat
rs5082	1	NUTRITIONAL	APOA2	Effect of saturated fat on obesity risk
rs662799	11	NUTRITIONAL	APOA5	Effect of fat intake on body mass index (BMI)
rs9939609	16	PHYSICAL	FTO	Effect of physical activity on body mass index (BMI)
rs1801282	3	NUTRITIONAL	PPARG	Improvement in glucose tolerance with regular exercise
rs1800588	15	PHYSICAL	LIPC	Insulin sensitivity response to exercise
rs1051730	15	BEHAVIORAL	CHRNA3	Smoking Behavior
rs601338	19	NUTRITIONAL	FUT2	NOROVIRUS resistance
rs16991615	20	BEHAVIORAL	MCM8	menopause
rs17070145	5	BEHAVIORAL	KIBRA	memory
rs1953558	14	BEHAVIORAL	OR11H7	odour detection
rs6269	22	PHYSICAL	COMT	pain sensitivity
